cpf,nome,data_nascimento,cidade,estado,nivel_conta,email
104.965.823-05,Mariana Andrade,1942-09-25,Cunha,ES,Prata,novaismiguel@example.net
863.742.091-50,Dr. Eduardo Cunha,2005-11-04,Caldeira de Minas,MG,Bronze,fogacacatarina@example.net
407.983.521-32,Maria Cecília Oliveira,1953-10-16,Aparecida,RO,Bronze,amandabarros@example.org
164.352.987-00,João Felipe Sampaio,2004-06-11,Pereira,RS,Bronze,sophiesiqueira@example.org
276.954.183-82,Ian Andrade,1995-06-28,Guerra Paulista,AP,Prata,ana-vitoriacunha@example.net
769.128.453-55,Dra. Mariane Pacheco,1967-11-20,Câmara Grande,PE,Prata,wborges@example.org
128.653.097-03,Nina Moura,1957-10-24,Rodrigues,SC,Ouro,rodriguesstella@example.com
514.386.029-60,Emanuelly Montenegro,2002-10-23,Pires,MA,Bronze,leandrofreitas@example.org
890.423.761-04,Isaque Araújo,1957-02-04,Barros,SC,Prata,wazevedo@example.net
297.418.306-96,Sra. Maria Liz Rios,1984-12-05,Macedo do Galho,PB,Bronze,da-cruzrael@example.org
503.418.627-62,Bernardo Andrade,1999-03-16,Barbosa do Galho,ES,Bronze,maria-vitoria38@example.org
973.685.102-86,Marina Fogaça,1969-07-13,Martins do Norte,RO,Prata,araujoisis@example.net
513.864.709-10,João Lucas Martins,1957-09-14,Macedo,SE,Bronze,aragaovalentina@example.org
132.865.940-24,Mateus Abreu,2007-10-03,da Luz dos Dourados,MA,Bronze,usampaio@example.net
723.810.465-26,Benicio Pacheco,1973-02-24,Araújo,PE,Prata,cirinodavi-miguel@example.net
136.049.728-50,Stephany Dias,2004-04-24,Costela Alegre,ES,Prata,isabela24@example.com
510.349.762-06,Julia Cardoso,2004-03-19,Azevedo de Goiás,MS,Bronze,levi78@example.net
480.592.731-32,Cauê Souza,1978-05-09,da Mata,MA,Prata,carolinecostela@example.net
487.205.319-23,Lucas Gabriel Vargas,1949-08-10,Castro dos Dourados,PI,Ouro,anovais@example.org
120.684.937-13,Leandro Fonseca,2001-11-18,Fogaça,DF,Bronze,gustavofogaca@example.net
623.915.708-21,Sra. Maria Sophia Rios,1999-07-04,da Mata,CE,Ouro,garciabreno@example.com
397.261.405-52,Luísa da Mota,1999-07-11,Vargas,GO,Prata,nicole68@example.com
014.872.936-31,Dr. Pedro Henrique Pereira,2007-09-07,Gomes,RJ,Bronze,thomasaparecida@example.net
603.278.951-95,Camila Silveira,2001-12-14,Montenegro da Mata,RO,Bronze,zduarte@example.net
482.135.679-19,Agatha da Rosa,1960-03-25,Lopes,SE,Ouro,maria-flor77@example.net
387.651.042-26,Isaac Rocha,1961-10-30,Costa,BA,Bronze,aparecidasamuel@example.com
917.354.826-09,Maria Liz da Cruz,1950-09-30,Sá,SP,Bronze,vasconceloslais@example.org
287.041.653-90,Vitória Novais,1981-03-24,Sá dos Dourados,RN,Bronze,cnovaes@example.org
794.612.380-96,Pedro Lucas Barbosa,1989-04-06,da Costa Paulista,MT,Ouro,valentina12@example.org
362.510.987-59,Nina Leão,1944-12-10,Leão,MG,Prata,teixeiragabrielly@example.com
