cpf,score,nivel_risco,sinais_alerta
104.965.823-05,20,NORMAL,
863.742.091-50,33,MONITORING,inconsistencia_de_dados;sinais_de_automacao;velocidade_das_acoes
407.983.521-32,22,NORMAL,
164.352.987-00,19,NORMAL,
276.954.183-82,15,NORMAL,
769.128.453-55,21,NORMAL,
128.653.097-03,13,NORMAL,
514.386.029-60,39,MONITORING,multiplas_contas;inconsistencia_de_dados
890.423.761-04,25,NORMAL,
297.418.306-96,30,NORMAL,
503.418.627-62,41,MONITORING,inconsistencia_de_dados
973.685.102-86,44,MONITORING,multiplas_contas;sinais_de_automacao
513.864.709-10,14,NORMAL,
132.865.940-24,24,NORMAL,
723.810.465-26,32,MONITORING,multiplas_contas;inconsistencia_de_dados;velocidade_das_acoes
136.049.728-50,42,MONITORING,inconsistencia_de_dados;sinais_de_automacao
510.349.762-06,18,NORMAL,
480.592.731-32,11,NORMAL,
487.205.319-23,25,NORMAL,
120.684.937-13,35,MONITORING,multiplas_contas
623.915.708-21,26,NORMAL,
397.261.405-52,30,NORMAL,
014.872.936-31,13,NORMAL,
603.278.951-95,12,NORMAL,
482.135.679-19,19,NORMAL,
387.651.042-26,5,NORMAL,
917.354.826-09,24,NORMAL,
287.041.653-90,16,NORMAL,
794.612.380-96,29,NORMAL,
362.510.987-59,16,NORMAL,
054.638.179-01,11,NORMAL,
806.479.521-49,12,NORMAL,
469.803.527-92,47,MONITORING,multiplas_contas
239.850.167-12,22,NORMAL,
319.052.647-80,18,NORMAL,
726.154.839-19,3,NORMAL,
765.032.198-30,21,NORMAL,
673.589.402-29,17,NORMAL,
685.273.914-73,16,NORMAL,
748.012.536-44,38,MONITORING,inconsistencia_de_dados
271.604.983-13,22,NORMAL,
102.947.835-04,43,MONITORING,sinais_de_automacao;inconsistencia_de_dados;velocidade_das_acoes
964.780.532-29,11,NORMAL,
974.012.835-14,3,NORMAL,
102.674.598-58,20,NORMAL,
654.091.827-58,20,NORMAL,
671.329.580-03,33,MONITORING,multiplas_contas;sinais_de_automacao
451.639.027-25,17,NORMAL,
482.735.096-56,30,NORMAL,
274.859.316-28,51,MONITORING,multiplas_contas;velocidade_das_acoes;inconsistencia_de_dados
584.602.731-80,40,MONITORING,sinais_de_automacao;inconsistencia_de_dados;multiplas_contas
369.870.251-77,14,NORMAL,
179.430.856-39,5,NORMAL,
570.481.293-79,18,NORMAL,
458.317.620-17,10,NORMAL,
479.503.286-65,10,NORMAL,
713.942.568-09,22,NORMAL,
953.814.270-50,9,NORMAL,
214.953.806-70,10,NORMAL,
179.863.205-59,27,NORMAL,
370.462.158-71,33,MONITORING,inconsistencia_de_dados;velocidade_das_acoes
132.867.540-80,17,NORMAL,
519.472.086-67,6,NORMAL,
231.647.508-62,33,MONITORING,velocidade_das_acoes;inconsistencia_de_dados;multiplas_contas
053.429.176-70,41,MONITORING,sinais_de_automacao;multiplas_contas
830.564.217-80,37,MONITORING,sinais_de_automacao;multiplas_contas
