id,cpf_cidadao,servico_slug,servico_nome,categoria,data_solicitacao,dias_para_concluir,status,nota_satisfacao,verificacao_facial_falhou
1,104.965.823-05,passaporte,Solicitar Passaporte,Viagens e Turismo,2025-11-22,18,Concluído,3.8,False
2,104.965.823-05,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2025-12-13,1,Concluído,4.0,False
3,104.965.823-05,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2026-03-05,3,Concluído,3.7,False
4,863.742.091-50,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2026-01-15,1,Concluído,3.2,False
5,863.742.091-50,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2025-10-10,1,Concluído,3.7,False
6,863.742.091-50,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2026-08-27,3,Concluído,5.0,False
7,863.742.091-50,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2026-07-25,4,Concluído,3.4,False
8,407.983.521-32,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2025-10-14,1,Concluído,4.6,False
9,407.983.521-32,passaporte,Solicitar Passaporte,Viagens e Turismo,2026-05-02,8,Concluído,4.6,False
10,407.983.521-32,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2026-03-30,2,Concluído,3.3,False
11,407.983.521-32,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2026-04-05,1,Concluído,3.6,False
12,164.352.987-00,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2026-08-10,5,Concluído,4.5,False
13,276.954.183-82,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2026-07-26,1,Concluído,3.6,False
14,769.128.453-55,passaporte,Solicitar Passaporte,Viagens e Turismo,2026-08-31,21,Concluído,4.1,False
15,769.128.453-55,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2026-03-07,2,Concluído,4.1,False
16,128.653.097-03,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2026-08-05,1,Concluído,3.9,False
17,128.653.097-03,cnh-digital,CNH Digital e Segunda Via,Trânsito,2026-01-03,10,Concluído,3.5,False
18,514.386.029-60,passaporte,Solicitar Passaporte,Viagens e Turismo,2026-04-20,11,Concluído,3.5,False
19,514.386.029-60,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2026-03-22,2,Atrasado,4.6,False
20,514.386.029-60,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2026-01-24,1,Concluído,4.2,False
21,890.423.761-04,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2025-11-24,1,Concluído,5.0,False
22,890.423.761-04,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2025-10-12,1,Concluído,4.3,False
23,890.423.761-04,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2026-08-20,2,Concluído,4.0,False
24,890.423.761-04,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2026-04-21,3,Concluído,3.5,False
25,297.418.306-96,passaporte,Solicitar Passaporte,Viagens e Turismo,2025-11-01,12,Atrasado,4.8,False
26,297.418.306-96,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2026-07-06,1,Concluído,3.4,False
27,503.418.627-62,cnh-digital,CNH Digital e Segunda Via,Trânsito,2025-11-22,7,Em andamento,3.9,False
28,503.418.627-62,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2026-06-04,2,Em andamento,5.0,False
29,503.418.627-62,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2026-04-28,1,Concluído,4.2,False
30,973.685.102-86,cnh-digital,CNH Digital e Segunda Via,Trânsito,2026-01-18,10,Atrasado,3.6,False
31,973.685.102-86,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2026-02-23,6,Concluído,3.7,False
32,973.685.102-86,passaporte,Solicitar Passaporte,Viagens e Turismo,2026-02-24,19,Concluído,3.9,False
33,973.685.102-86,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2025-10-05,1,Concluído,4.1,False
34,513.864.709-10,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2026-01-16,3,Concluído,4.8,False
35,513.864.709-10,passaporte,Solicitar Passaporte,Viagens e Turismo,2025-11-06,12,Atrasado,4.0,False
36,513.864.709-10,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2026-04-13,1,Concluído,4.1,False
37,132.865.940-24,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2026-01-05,4,Concluído,4.2,False
38,723.810.465-26,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2025-11-18,1,Concluído,4.2,False
39,723.810.465-26,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2026-07-26,4,Em andamento,3.2,False
40,723.810.465-26,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2025-09-26,3,Atrasado,4.1,True
41,723.810.465-26,cnh-digital,CNH Digital e Segunda Via,Trânsito,2025-09-28,3,Concluído,4.7,True
42,136.049.728-50,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2026-07-30,1,Concluído,3.6,False
43,136.049.728-50,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2026-09-04,2,Atrasado,4.8,False
44,136.049.728-50,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2026-06-01,2,Concluído,4.9,False
45,510.349.762-06,cnh-digital,CNH Digital e Segunda Via,Trânsito,2026-03-30,9,Concluído,2.7,False
46,510.349.762-06,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2026-07-02,2,Concluído,4.2,False
47,480.592.731-32,passaporte,Solicitar Passaporte,Viagens e Turismo,2026-09-01,15,Atrasado,4.2,False
48,487.205.319-23,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2026-05-02,2,Concluído,4.6,False
49,120.684.937-13,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2026-01-28,1,Concluído,3.8,False
50,623.915.708-21,carteira-trabalho,Carteira de Trabalho Digital,Trabalho e Previdência,2025-10-12,2,Em andamento,3.5,False
51,623.915.708-21,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2026-02-21,1,Concluído,4.7,False
52,397.261.405-52,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2026-08-12,2,Concluído,5.0,False
53,397.261.405-52,cnh-digital,CNH Digital e Segunda Via,Trânsito,2025-09-15,3,Concluído,5.0,False
54,397.261.405-52,entregar-imposto-renda,Entregar Imposto de Renda,Finanças e Impostos,2025-11-09,1,Concluído,4.4,False
55,397.261.405-52,consultar-imposto-renda,Consultar Imposto de Renda,Finanças e Impostos,2025-10-14,1,Concluído,3.5,False
56,014.872.936-31,consultar-restituicao,Consultar Restituição,Finanças e Impostos,2026-05-21,1,Concluído,5.0,False
57,014.872.936-31,cnh-digital,CNH Digital e Segunda Via,Trânsito,2026-07-28,7,Concluído,4.2,False
58,603.278.951-95,assinatura-eletronica,Assinatura Eletrônica,Identidade Digital,2026-02-05,2,Concluído,5.0,False
59,603.278.951-95,cnh-digital,CNH Digital e Segunda Via,Trânsito,2025-12-04,17,Concluído,4.3,False
60,603.278.951-95,passaporte,Solicitar Passaporte,Viagens e Turismo,2026-02-16,7,Atrasado,4.5,False
